40 945786.00 0.00
80 946399.00 0.63
120 945455.00 0.60
160 946127.00 0.59
200 945628.00 0.57
240 946203.00 0.60
280 945650.00 0.58
320 945775.00 0.59
360 946025.00 0.56
400 945795.00 0.59
440 946729.00 0.58
480 946714.00 0.52
520 945773.00 0.48
560 946277.00 0.42
600 946804.00 0.42
640 947213.00 0.42
680 947575.00 0.46
720 947373.00 0.54
760 948006.00 0.56
800 946792.00 0.59
840 946874.00 0.57
880 947032.00 0.58
920 946421.00 0.51
960 945998.00 0.42
1000 945918.00 0.38
1040 946231.00 0.34
1080 946022.00 0.32
1120 945856.00 0.29
1160 945573.00 0.33
1200 945584.00 0.41
1240 946221.00 0.51
1280 945652.00 0.57
1320 945897.00 0.59
1360 946269.00 0.58
1400 946527.00 0.54
1440 946203.00 0.54
1480 946929.00 0.52
1520 947199.00 0.57
1560 947121.00 0.59
1600 947668.00 0.67
1640 948184.00 0.69
1680 947518.00 0.70
1720 948087.00 0.67
1760 947507.00 0.67
1800 947368.00 0.70
1840 947579.00 0.69
1880 947832.00 0.62
1920 947343.00 0.50
1960 947498.00 0.43
2000 947119.00 0.43
2040 947045.00 0.50
2080 947621.00 0.59
2120 947250.00 0.62
2160 947284.00 0.54
2200 947327.00 0.48
2240 947593.00 0.39
2280 947790.00 0.40
2320 947528.00 0.37
2360 948066.00 0.40
2400 947499.00 0.47
2440 948572.00 0.56
2480 949013.00 0.64
2520 948810.00 0.66
2560 949295.00 0.64
2600 948870.00 0.63
2640 950405.00 0.60
2680 950087.00 0.56
2720 949963.00 0.44
2760 949268.00 0.42
2800 949185.00 0.43
2840 949058.00 0.53
2880 949910.00 0.59
2920 949053.00 0.63
2960 949124.00 0.57
3000 948826.00 0.44
3040 949462.00 0.31
3080 948624.00 0.26
3120 949006.00 0.32
3160 949186.00 0.44
3200 949004.00 0.56
3240 949354.00 0.59
3280 949698.00 0.58
3320 949679.00 0.54
3360 949839.00 0.54
3400 950342.00 0.53
3440 950144.00 0.61
3480 951141.00 0.59
3520 951214.00 0.54
3560 950519.00 0.44
3600 951902.00 0.43
3640 951631.00 0.47
3680 952000.00 0.49
3720 951551.00 0.51
3760 950842.00 0.53
3800 951222.00 0.52
3840 951141.00 0.54
3880 950335.00 0.58
3920 951060.00 0.63
3960 951750.00 0.64
4000 950974.00 0.57
4040 951022.00 0.50
4080 950630.00 0.43
4120 951019.00 0.44
4160 951618.00 0.49
4200 950755.00 0.51
4240 952046.00 0.58
4280 951426.00 0.59
4320 952098.00 0.59
4360 952493.00 0.52
4400 952830.00 0.49
4440 952979.00 0.56
4480 953037.00 0.61
4520 953802.00 0.68
4560 954435.00 0.62
4600 954196.00 0.58
4640 954787.00 0.44
4680 954425.00 0.40
4720 955018.00 0.38
4760 954136.00 0.48
4800 955025.00 0.58
4840 954034.00 0.69
