Czas [ms];Fluorescencja [j.f];Ciśnienie [mmHg]
103080;2079932,00;0,13
103120;2080386,00;0,27
103160;2080599,00;0,27
103200;2080976,00;0,03
103240;2082562,00;-0,07
103280;2080697,00;-0,03
103320;2080394,00;0,00
103360;2081276,00;0,00
103400;2078869,00;-0,10
103440;2080182,00;-0,03
103480;2081440,00;0,00
103520;2079811,00;0,13
103560;2080222,00;0,23
103600;2081937,00;0,27
103640;2080911,00;0,23
103680;2080082,00;0,20
103720;2082108,00;0,10
103760;2080918,00;0,07
103800;2082104,00;0,13
103840;2082957,00;0,07
103880;2083244,00;0,00
103920;2082587,00;-0,27
103960;2083574,00;-0,17
104000;2082624,00;-0,07
104040;2082971,00;-0,03
104080;2083451,00;-0,03
104120;2082407,00;-0,20
104160;2082507,00;-0,10
104200;2081761,00;-0,07
104240;2082792,00;0,13
104280;2081530,00;0,20
104320;2083065,00;0,20
104360;2082376,00;0,17
104400;2082783,00;0,10
104440;2083304,00;0,03
104480;2083666,00;0,03
104520;2082807,00;0,13
104560;2083363,00;0,23
104600;2083072,00;0,23
104640;2084288,00;0,20
104680;2084226,00;0,10
104720;2083868,00;0,10
104760;2083481,00;0,07
104800;2083750,00;-0,07
104840;2083680,00;-0,23
104880;2084008,00;-0,20
104920;2083055,00;0,00
104960;2082549,00;0,03
105000;2082997,00;-0,10
105040;2083892,00;-0,10
105080;2082886,00;-0,07
105120;2084539,00;-0,07
105160;2083506,00;-0,03
105200;2083579,00;-0,07
105240;2083367,00;0,13
105280;2083402,00;0,17
105320;2083431,00;0,13
105360;2084892,00;-0,13
105400;2083828,00;-0,23
105440;2084770,00;-0,07
105480;2085360,00;0,00
105520;2084672,00;-0,10
105560;2085237,00;-0,07
105600;2085486,00;0,07
105640;2084546,00;0,07
105680;2084305,00;0,00
105720;2084687,00;-0,20
105760;2085008,00;-0,27
105800;2084565,00;-0,20
105840;2084083,00;-0,17
105880;2083527,00;-0,13
105920;2084567,00;-0,17
105960;2084954,00;-0,17
106000;2084553,00;-0,03
106040;2083790,00;-0,03
106080;2085108,00;0,13
106120;2085542,00;-0,03
106160;2085517,00;-0,07
106200;2085120,00;-0,13
106240;2086070,00;0,10
106280;2085718,00;0,20
106320;2085127,00;0,23
106360;2085805,00;0,17
106400;2085658,00;0,10
106440;2085210,00;0,07
106480;2084434,00;0,17
106520;2085389,00;0,03
106560;2084377,00;-0,03
106600;2084050,00;-0,17
106640;2084718,00;-0,13
106680;2085564,00;-0,13
106720;2084739,00;-0,13
106760;2086032,00;-0,03
106800;2086228,00;0,03
106840;2085538,00;0,07
106880;2086213,00;0,17
106920;2085561,00;0,30
106960;2086061,00;0,40
107000;2086341,00;0,30
107040;2086478,00;0,20
107080;2085216,00;0,07
107120;2085897,00;0,10
107160;2085156,00;0,13
107200;2084173,00;0,13
107240;2084642,00;0,07
107280;2084084,00;0,00
107320;2083746,00;0,00
107360;2084653,00;0,00
107400;2083870,00;0,00
107440;2083250,00;0,00
107480;2084412,00;0,10
107520;2083559,00;0,20
107560;2083963,00;0,20
107600;2084864,00;0,20
107640;2084236,00;0,20
107680;2084264,00;0,10
107720;2084116,00;0,10
107760;2086126,00;-0,10
107800;2084151,00;-0,07
107840;2083302,00;-0,23
107880;2083496,00;-0,13
107920;2082457,00;-0,07
107960;2083155,00;0,00
108000;2081675,00;0,10
108040;2083476,00;0,03
108080;2082049,00;0,13
108120;2082969,00;0,07
108160;2083020,00;0,17
108200;2081817,00;0,10
108240;2082735,00;0,13
108280;2083360,00;0,17
108320;2083650,00;0,13
108360;2083485,00;0,07
108400;2083666,00;0,03
108440;2083398,00;-0,03
108480;2083178,00;0,00
108520;2083982,00;-0,03
108560;2083698,00;0,03
108600;2084303,00;-0,07
108640;2083563,00;0,07
108680;2082711,00;-0,03
108720;2084028,00;-0,07
108760;2082789,00;-0,10
108800;2081522,00;0,10
108840;2082039,00;0,20
108880;2081027,00;0,03
108920;2082021,00;0,00
108960;2080966,00;-0,07
109000;2081891,00;-0,13
109040;2081988,00;-0,33
109080;2081612,00;-0,13
109120;2083588,00;0,13
109160;2082016,00;0,27
109200;2083089,00;0,17
109240;2083194,00;0,07
109280;2081796,00;0,13
109320;2081916,00;0,00
109360;2081421,00;0,00
109400;2080401,00;0,03
109440;2081433,00;0,07
109480;2080517,00;-0,03
109520;2079509,00;-0,27
109560;2081313,00;-0,07
109600;2078918,00;0,00
109640;2079598,00;0,03
109680;2078462,00;-0,20
109720;2078752,00;-0,17
109760;2079668,00;-0,07
109800;2080162,00;-0,10
109840;2079598,00;-0,03
109880;2080180,00;-0,03
109920;2080794,00;0,10
109960;2079788,00;0,13
110000;2079533,00;0,23
110040;2080255,00;0,33
110080;2080368,00;0,10
110120;2078841,00;0,07
110160;2079841,00;0,03
110200;2077033,00;0,00
110240;2078642,00;-0,07
110280;2078656,00;-0,07
110320;2078299,00;0,17
110360;2078234,00;0,27
110400;2077922,00;0,23
110440;2077482,00;0,17
110480;2078541,00;0,13
110520;2078445,00;0,17
110560;2077737,00;0,03
110600;2078373,00;-0,10
110640;2078256,00;-0,23
110680;2078909,00;-0,10
110720;2079073,00;-0,10
110760;2078840,00;-0,17
110800;2079656,00;-0,30
110840;2079804,00;-0,20
110880;2080401,00;-0,13
110920;2080837,00;-0,10
110960;2082194,00;-0,13
111000;2081154,00;0,03
111040;2080879,00;0,20
111080;2082542,00;0,13
111120;2083040,00;-0,10
111160;2083315,00;-0,10
111200;2083571,00;0,07
111240;2084191,00;0,30
111280;2083675,00;0,13
111320;2084940,00;-0,10
111360;2085798,00;-0,10
111400;2086964,00;-0,03
111440;2086346,00;0,10
111480;2086141,00;-0,07
111520;2087133,00;-0,13
111560;2087745,00;-0,10
111600;2087359,00;0,00
111640;2087655,00;0,10
111680;2086625,00;-0,03
111720;2087550,00;0,07
111760;2087118,00;-0,10
111800;2087389,00;-0,10
111840;2087104,00;-0,20
111880;2087481,00;-0,07
111920;2088480,00;0,03
111960;2087438,00;0,00
112000;2087911,00;0,03
112040;2087554,00;0,07
112080;2088276,00;0,00
112120;2088224,00;0,00
112160;2087988,00;-0,17
112200;2089036,00;-0,23
112240;2089597,00;-0,37
112280;2089347,00;-0,33
112320;2090184,00;-0,17
112360;2089809,00;-0,03
112400;2088912,00;0,17
112440;2089751,00;0,23
112480;2088375,00;0,13
112520;2087175,00;-0,10
112560;2087760,00;-0,30
112600;2088949,00;-0,33
112640;2088039,00;-0,10
112680;2088637,00;-0,10
112720;2088139,00;-0,07
112760;2089167,00;-0,17
112800;2088196,00;-0,07
112840;2088427,00;-0,07
112880;2089165,00;-0,13
112920;2089426,00;-0,13
112960;2090053,00;0,03
113000;2089132,00;0,13
113040;2090168,00;0,17
113080;2089750,00;-0,03
113120;2089625,00;-0,03
113160;2088853,00;-0,03
113200;2089128,00;0,20
113240;2088559,00;0,03
113280;2088999,00;-0,07
113320;2089013,00;-0,27
113360;2088376,00;-0,23
113400;2088398,00;-0,13
113440;2088567,00;-0,23
113480;2090085,00;-0,30
113520;2089521,00;-0,27
113560;2089418,00;0,00
113600;2088562,00;0,27
113640;2088812,00;0,10
113680;2089177,00;-0,13
113720;2089241,00;-0,30
113760;2089445,00;-0,33
113800;2089338,00;-0,30
113840;2089679,00;-0,33
113880;2090502,00;-0,10
113920;2088404,00;0,07
113960;2087921,00;0,07
114000;2088707,00;-0,13
114040;2089336,00;-0,27
114080;2088049,00;-0,07
114120;2087577,00;-0,07
114160;2088284,00;-0,10
114200;2087453,00;-0,27
114240;2087889,00;-0,17
114280;2087892,00;-0,07
114320;2087710,00;-0,07
114360;2088235,00;-0,20
114400;2089495,00;-0,20
114440;2087553,00;-0,13
114480;2087592,00;-0,13
114520;2089597,00;-0,13
114560;2088592,00;-0,10
114600;2089009,00;0,10
114640;2088130,00;0,13
114680;2087394,00;-0,03
114720;2087642,00;-0,17
114760;2086880,00;-0,20
114800;2085909,00;0,07
114840;2086950,00;0,20
114880;2086903,00;0,27
114920;2087169,00;0,07
114960;2086660,00;-0,10
115000;2087619,00;-0,27
115040;2087082,00;-0,10
115080;2086513,00;0,13
115120;2085860,00;0,13
115160;2087026,00;0,03
115200;2085747,00;-0,17
115240;2086880,00;-0,13
115280;2087724,00;-0,07
115320;2087067,00;0,10
115360;2086616,00;0,27
115400;2086381,00;0,23
115440;2087289,00;0,00
115480;2085558,00;-0,17
115520;2085265,00;-0,17
115560;2085244,00;0,00
115600;2084625,00;0,10
115640;2085488,00;0,07
115680;2084923,00;0,17
115720;2084263,00;0,27
115760;2084912,00;0,30
115800;2084927,00;0,23
115840;2084231,00;0,03
115880;2084392,00;0,10
115920;2083887,00;0,13
115960;2085127,00;0,30
116000;2085558,00;0,20
116040;2084701,00;0,10
116080;2084132,00;0,00
116120;2084620,00;0,10
116160;2083629,00;0,03
116200;2084006,00;-0,03
116240;2083536,00;-0,13
116280;2081964,00;-0,07
116320;2082683,00;0,00
116360;2079712,00;0,00
116400;2080714,00;-0,07
116440;2080879,00;-0,07
116480;2081461,00;-0,03
116520;2080334,00;0,10
116560;2081240,00;0,00
116600;2080290,00;-0,13
116640;2081404,00;-0,27
116680;2080946,00;-0,13
116720;2080971,00;0,03
116760;2080443,00;0,23
116800;2081162,00;0,10
116840;2080423,00;0,13
116880;2081021,00;0,00
116920;2079742,00;0,20
116960;2080572,00;0,20
117000;2078917,00;0,27
117040;2078409,00;0,20
117080;2078475,00;0,17
117120;2077358,00;0,17
117160;2077443,00;0,07
117200;2077765,00;-0,10
117240;2076615,00;-0,10
117280;2077427,00;0,03
117320;2076815,00;0,20
117360;2076207,00;0,20
117400;2076700,00;0,17
117440;2077315,00;0,03
117480;2076299,00;-0,10
117520;2077522,00;-0,27
117560;2076928,00;-0,10
117600;2075922,00;0,07
117640;2076105,00;0,20
117680;2075761,00;0,10
117720;2074790,00;0,07
117760;2074967,00;0,13
117800;2074454,00;0,17
117840;2074500,00;0,13
117880;2072885,00;0,07
117920;2072263,00;-0,07
117960;2072480,00;-0,20
118000;2072482,00;-0,17
118040;2072904,00;-0,07
118080;2072545,00;-0,10
118120;2072585,00;-0,23
118160;2072702,00;-0,33
118200;2072889,00;-0,17
118240;2071457,00;-0,03
118280;2072266,00;0,00
118320;2072983,00;-0,03
118360;2071921,00;-0,17
118400;2072127,00;-0,20
118440;2071629,00;-0,13
118480;2070958,00;0,00
118520;2069628,00;0,13
118560;2068925,00;0,10
118600;2067820,00;0,07
118640;2067942,00;-0,07
118680;2067612,00;0,03
118720;2067508,00;0,07
118760;2066137,00;0,20
118800;2067343,00;0,10
118840;2068244,00;0,10
118880;2065823,00;0,07
118920;2066427,00;-0,10
118960;2066941,00;-0,10
119000;2067197,00;-0,07
119040;2066844,00;0,17
119080;2067777,00;0,17
119120;2067106,00;0,27
119160;2067304,00;0,10
119200;2068746,00;0,00
119240;2067988,00;-0,10
119280;2068663,00;-0,10
119320;2070006,00;-0,13
119360;2068740,00;-0,17
119400;2068790,00;-0,10
119440;2070305,00;0,07
119480;2069858,00;0,17
119520;2070113,00;0,10
119560;2071535,00;-0,10
119600;2072553,00;-0,33
119640;2071851,00;-0,33
119680;2071877,00;-0,07
119720;2072711,00;0,07
119760;2074214,00;0,23
119800;2074585,00;0,13
119840;2073767,00;0,03
119880;2074260,00;-0,13
119920;2073390,00;-0,17
119960;2073369,00;-0,03
120000;2074377,00;0,07
120040;2074598,00;0,10
120080;2072832,00;-0,03
120120;2073553,00;-0,23
120160;2072504,00;-0,43
120200;2072408,00;-0,27
120240;2072336,00;-0,03
120280;2072628,00;0,23
120320;2073063,00;0,03
120360;2072494,00;-0,17
120400;2070999,00;-0,40
120440;2071809,00;-0,17
120480;2073704,00;0,10
120520;2072259,00;0,37
120560;2073484,00;0,40
120600;2073064,00;0,17
120640;2073145,00;-0,07
120680;2071849,00;-0,27
120720;2070547,00;-0,23
120760;2070894,00;-0,27
120800;2069524,00;-0,17
120840;2069994,00;-0,17
120880;2069141,00;-0,10
120920;2068840,00;0,00
120960;2069144,00;0,13
121000;2068266,00;0,23
121040;2067422,00;0,13
121080;2069220,00;0,10
121120;2069457,00;0,00
121160;2067435,00;-0,17
121200;2068535,00;-0,33
121240;2069428,00;-0,33
121280;2069018,00;-0,17
121320;2070378,00;0,03
121360;2069518,00;0,13
121400;2069002,00;0,20
121440;2067799,00;0,23
121480;2066918,00;0,30
121520;2067189,00;0,13
121560;2067020,00;-0,03
121600;2067166,00;-0,20
121640;2065976,00;-0,10
121680;2064184,00;0,00
121720;2065436,00;0,10
121760;2064671,00;0,17
121800;2064393,00;0,23
121840;2064298,00;0,20
121880;2063762,00;0,00
121920;2063747,00;-0,23
121960;2065165,00;-0,30
122000;2064674,00;-0,17
122040;2064744,00;0,00
122080;2064080,00;-0,03
122120;2064946,00;-0,13
122160;2063359,00;-0,17
122200;2064018,00;-0,07
122240;2062750,00;-0,10
122280;2062226,00;-0,03
122320;2062234,00;0,10
122360;2060707,00;0,33
122400;2061328,00;0,30
122440;2061042,00;0,17
122480;2059412,00;0,03
122520;2059362,00;0,00
122560;2060207,00;-0,10
122600;2059439,00;-0,20
122640;2059341,00;-0,27
122680;2059619,00;0,00
122720;2058198,00;0,17
122760;2058735,00;0,33
122800;2059198,00;0,27
122840;2058540,00;0,23
122880;2059010,00;0,00
122920;2058498,00;-0,20
122960;2056941,00;-0,37
123000;2056127,00;-0,37
123040;2055674,00;-0,40
123080;2055451,00;-0,27
123120;2054068,00;-0,03
123160;2054383,00;0,13
123200;2054228,00;0,27
123240;2052656,00;0,17
123280;2053266,00;0,23
123320;2052568,00;0,20
123360;2052785,00;0,07
123400;2052221,00;-0,10
123440;2053985,00;-0,27
123480;2052803,00;-0,23
123520;2053969,00;-0,17
123560;2051918,00;-0,10
123600;2053198,00;0,13
123640;2050572,00;0,20
123680;2050611,00;0,27
123720;2051827,00;0,23
123760;2049101,00;0,23
123800;2048103,00;0,17
123840;2048677,00;0,17
123880;2047285,00;0,20
123920;2047540,00;0,20
123960;2047968,00;0,10
124000;2046719,00;0,07
124040;2046214,00;0,13
124080;2046959,00;0,03
124120;2048341,00;0,00
124160;2045843,00;-0,20
124200;2046598,00;-0,07
124240;2046232,00;-0,03
124280;2046574,00;0,17
124320;2046368,00;0,20
124360;2047249,00;0,27
124400;2045539,00;0,33
124440;2045044,00;0,27
124480;2044406,00;0,00
124520;2043024,00;-0,27
124560;2042564,00;-0,40
124600;2042435,00;-0,27
124640;2040811,00;-0,13
124680;2040146,00;-0,07
124720;2041293,00;-0,07
124760;2040468,00;-0,07
124800;2041437,00;0,13
124840;2040094,00;0,20
124880;2040131,00;0,27
124920;2040618,00;0,23
124960;2040140,00;0,27
125000;2040157,00;0,33
125040;2042194,00;0,37
125080;2041210,00;0,40
125120;2039666,00;0,30
125160;2039450,00;0,17
125200;2038699,00;0,03
125240;2038012,00;-0,13
125280;2037894,00;-0,27
125320;2037213,00;-0,37
125360;2035535,00;-0,17
125400;2036192,00;0,03
125440;2034984,00;0,07
125480;2035568,00;0,00
125520;2035035,00;-0,07
125560;2035738,00;0,00
125600;2036023,00;0,03
125640;2035080,00;0,17
125680;2035426,00;0,10
125720;2035405,00;0,00
125760;2035305,00;-0,13
125800;2035453,00;-0,07
125840;2035049,00;0,03
125880;2035717,00;-0,07
125920;2034681,00;-0,03
125960;2033366,00;-0,07
126000;2033169,00;-0,07
126040;2032644,00;-0,20
126080;2031939,00;-0,10
126120;2031670,00;0,07
126160;2030683,00;0,23
126200;2030284,00;0,17
126240;2029881,00;0,17
126280;2031019,00;0,10
126320;2030806,00;0,07
126360;2030207,00;0,03
126400;2031281,00;0,07
126440;2031981,00;0,07
126480;2031813,00;0,17
126520;2031901,00;0,23
126560;2031876,00;0,33
126600;2032504,00;0,30
126640;2032143,00;0,33
126680;2031476,00;0,37
126720;2030447,00;0,33
126760;2029844,00;0,13
126800;2029218,00;0,13
126840;2028557,00;0,20
126880;2028434,00;0,30
126920;2027410,00;0,20
126960;2028205,00;0,10
127000;2026889,00;0,13
127040;2028617,00;0,13
127080;2027063,00;0,13
127120;2028152,00;0,10
127160;2027096,00;0,07
127200;2027932,00;0,03
127240;2027727,00;0,03
127280;2028921,00;0,13
127320;2027926,00;0,23
127360;2029134,00;0,20
127400;2029487,00;0,13
127440;2029101,00;0,07
127480;2027144,00;0,10
127520;2027089,00;0,10
127560;2025844,00;0,13
127600;2026166,00;-0,03
127640;2026371,00;-0,17
127680;2026582,00;-0,33
127720;2024978,00;-0,20
127760;2024964,00;-0,23
127800;2024952,00;-0,23
127840;2024958,00;-0,23
127880;2024954,00;-0,10
127920;2025838,00;0,03
127960;2025978,00;-0,03
128000;2025261,00;-0,10
128040;2026498,00;-0,03
128080;2026203,00;0,10
128120;2027504,00;0,23
128160;2026025,00;0,27
128200;2027679,00;0,33
128240;2025966,00;0,20
128280;2026715,00;0,10
128320;2024650,00;-0,17
128360;2025206,00;-0,07
128400;2024028,00;-0,07
128440;2024681,00;0,00
128480;2024462,00;-0,10
128520;2025306,00;-0,20
128560;2024162,00;-0,20
128600;2024737,00;-0,13
128640;2024476,00;0,00
128680;2024505,00;-0,03
128720;2025568,00;-0,13
128760;2025887,00;-0,20
128800;2026035,00;-0,10
128840;2025968,00;0,00
128880;2027534,00;0,13
128920;2027824,00;0,27
128960;2026903,00;0,40
129000;2025987,00;0,27
129040;2026642,00;0,23
129080;2025767,00;0,10
129120;2024630,00;0,13
129160;2026140,00;0,07
129200;2025557,00;0,10
129240;2024738,00;0,10
129280;2025470,00;-0,03
129320;2024938,00;0,03
129360;2026279,00;0,00
129400;2025863,00;0,10
129440;2025869,00;-0,10
129480;2027052,00;-0,10
129520;2027489,00;-0,20
129560;2027344,00;-0,17
129600;2027850,00;-0,03
129640;2028037,00;0,13
129680;2028371,00;0,27
129720;2028507,00;0,03
129760;2027593,00;0,10
129800;2028138,00;0,07
129840;2028747,00;0,20
129880;2027842,00;0,10
129920;2027302,00;0,17
129960;2027247,00;0,13
130000;2027436,00;0,10
130040;2026932,00;0,00
130080;2028906,00;0,00
130120;2027905,00;0,00
130160;2029173,00;-0,10
130200;2028109,00;-0,23
130240;2030022,00;-0,37
130280;2029906,00;-0,33
130320;2030274,00;-0,30
130360;2030670,00;-0,27
130400;2030579,00;-0,07
130440;2031511,00;-0,03
130480;2030905,00;0,07
130520;2031439,00;-0,03
130560;2030635,00;0,07
130600;2030315,00;0,07
130640;2029834,00;-0,10
130680;2030640,00;-0,10
130720;2029944,00;-0,07
130760;2030848,00;0,00
130800;2030744,00;-0,03
130840;2030362,00;-0,07
130880;2030806,00;-0,07
130920;2031656,00;-0,13
130960;2032947,00;-0,13
131000;2032425,00;-0,07
131040;2032899,00;-0,10
131080;2034104,00;-0,20
131120;2034526,00;-0,13
131160;2034340,00;0,00
131200;2034249,00;0,17
131240;2036809,00;0,17
131280;2034451,00;0,17
131320;2036215,00;0,10
131360;2034373,00;0,03
131400;2034497,00;0,07
131440;2036173,00;0,10
131480;2036271,00;0,13
131520;2035121,00;0,10
131560;2036388,00;0,13
131600;2035404,00;0,20
131640;2036238,00;0,27
131680;2037119,00;0,23
131720;2037038,00;0,17
131760;2037688,00;0,20
131800;2037437,00;0,23
131840;2039758,00;0,33
131880;2039356,00;0,33
131920;2039004,00;0,20
131960;2040775,00;0,10
132000;2040025,00;0,00
132040;2039574,00;0,07
132080;2041120,00;0,10
132120;2039618,00;0,13
132160;2040124,00;0,23
132200;2041170,00;0,20
132240;2041732,00;0,17
132280;2042136,00;0,17
132320;2040921,00;0,27
132360;2041882,00;0,37
132400;2042797,00;0,40
132440;2042232,00;0,33
132480;2042341,00;0,20
132520;2043860,00;0,17
132560;2044582,00;0,20
132600;2045364,00;0,20
132640;2045383,00;0,20
132680;2045007,00;0,20
132720;2045025,00;0,20
132760;2046075,00;0,10
132800;2045047,00;-0,10
132840;2046832,00;-0,20
132880;2045741,00;-0,33
132920;2045806,00;-0,30
132960;2047770,00;-0,10
133000;2046094,00;0,13
133040;2046315,00;0,30
133080;2046329,00;0,30
133120;2048279,00;0,30
133160;2047638,00;0,30
133200;2049256,00;0,33
133240;2048574,00;0,27
133280;2049464,00;0,20
133320;2048919,00;0,10
133360;2050686,00;0,10
133400;2050563,00;0,10
133440;2051155,00;0,10
133480;2052608,00;0,00
133520;2051801,00;-0,10
133560;2052608,00;-0,23
133600;2052197,00;-0,27
133640;2051028,00;-0,33
133680;2051655,00;-0,17
133720;2052671,00;-0,20
133760;2052360,00;-0,17
133800;2052703,00;-0,37
133840;2054056,00;-0,37
133880;2052869,00;-0,37
133920;2053322,00;-0,23
133960;2054635,00;-0,17
134000;2054768,00;-0,13
134040;2054974,00;-0,27
134080;2056439,00;-0,30
134120;2056370,00;-0,33
134160;2057497,00;-0,30
134200;2058924,00;-0,20
134240;2057049,00;-0,03
134280;2058973,00;0,13
134320;2057548,00;0,07
134360;2058640,00;-0,13
134400;2059788,00;-0,20
134440;2057905,00;-0,13
134480;2059291,00;-0,07
134520;2059432,00;-0,17
134560;2060054,00;-0,27
134600;2060114,00;-0,30
134640;2060773,00;-0,17
134680;2060001,00;0,03
134720;2061847,00;0,23
134760;2061132,00;0,23
134800;2061920,00;0,13
134840;2062598,00;0,03
134880;2063464,00;0,00
134920;2062149,00;0,00
134960;2063416,00;-0,07
135000;2063794,00;-0,20
135040;2063214,00;-0,33
135080;2066091,00;-0,20
135120;2065099,00;0,03
135160;2065236,00;0,27
135200;2064038,00;0,33
135240;2065555,00;0,30
135280;2065783,00;0,23
135320;2065606,00;0,17
135360;2066160,00;0,00
135400;2065522,00;-0,13
135440;2066467,00;-0,13
135480;2067743,00;-0,17
135520;2066491,00;-0,20
135560;2068682,00;-0,13
135600;2069488,00;0,03
135640;2068353,00;0,20
135680;2070952,00;0,13
135720;2069853,00;0,17
135760;2069870,00;0,20
135800;2070141,00;0,13
135840;2070938,00;0,07
135880;2070164,00;0,17
135920;2070354,00;0,17
135960;2070543,00;0,17
136000;2070903,00;0,03
136040;2071182,00;0,07
136080;2070680,00;0,07
136120;2071986,00;0,03
136160;2073150,00;0,00
136200;2071919,00;0,00
136240;2072224,00;0,00
136280;2072413,00;-0,13
136320;2073162,00;-0,27
136360;2074133,00;-0,40
136400;2074151,00;-0,37
136440;2074361,00;-0,33
136480;2075169,00;-0,27
136520;2074957,00;-0,30
136560;2074562,00;-0,33
136600;2074875,00;-0,17
136640;2075619,00;0,00
136680;2076653,00;0,27
136720;2076307,00;0,10
136760;2076741,00;0,00
136800;2077160,00;-0,20
136840;2077708,00;-0,23
136880;2077320,00;-0,27
136920;2077943,00;-0,13
136960;2078004,00;-0,03
137000;2078621,00;0,20
137040;2077848,00;0,23
137080;2078332,00;0,33
137120;2078931,00;0,10
137160;2080629,00;-0,10
137200;2080148,00;-0,13
137240;2080790,00;0,03
137280;2081497,00;0,20
137320;2082054,00;0,20
137360;2080213,00;0,17
137400;2080728,00;0,13
137440;2081977,00;0,10
137480;2082761,00;-0,07
137520;2081855,00;0,03
137560;2082258,00;0,07
137600;2082212,00;0,23
137640;2082084,00;0,23
137680;2082435,00;0,23
137720;2083249,00;0,27
137760;2082765,00;0,27
137800;2082378,00;0,33
137840;2083058,00;0,40
137880;2083470,00;0,40
137920;2083026,00;0,20
137960;2083851,00;0,07
138000;2084446,00;-0,13
138040;2085183,00;-0,13
138080;2085538,00;-0,13
138120;2085771,00;-0,20
138160;2084811,00;-0,20
138200;2085450,00;-0,27
138240;2086128,00;-0,13
138280;2086184,00;0,03
138320;2085247,00;0,20
138360;2086190,00;0,23
138400;2085863,00;0,23
138440;2085625,00;0,23
138480;2086788,00;0,30
138520;2087665,00;0,33
138560;2086641,00;0,37
138600;2085476,00;0,37
138640;2087458,00;0,23
138680;2087753,00;0,10
138720;2088126,00;0,10
138760;2089404,00;0,20
138800;2087849,00;0,33
138840;2089294,00;0,23
138880;2088499,00;0,13
138920;2088692,00;0,07
138960;2088016,00;0,13
139000;2089208,00;0,20
139040;2089314,00;0,20
139080;2088510,00;0,23
139120;2088771,00;0,27
139160;2090536,00;0,27
139200;2089574,00;0,10
139240;2089555,00;-0,07
139280;2088945,00;-0,07
139320;2090223,00;0,07
139360;2089364,00;0,23
139400;2090120,00;0,10
139440;2090001,00;0,03
139480;2088840,00;-0,07
139520;2090991,00;0,03
139560;2091507,00;0,07
139600;2091431,00;0,17
139640;2090896,00;0,20
139680;2091135,00;0,20
139720;2091287,00;0,17
139760;2091088,00;0,10
139800;2091996,00;0,20
139840;2091458,00;0,27
139880;2092119,00;0,33
139920;2091334,00;0,13
139960;2091436,00;-0,07
140000;2092391,00;-0,23
140040;2093082,00;-0,27
140080;2092192,00;-0,30
140120;2092613,00;-0,27
140160;2092938,00;-0,23
140200;2091989,00;-0,13
140240;2092843,00;0,03
140280;2093797,00;0,00
140320;2092774,00;0,03
140360;2093804,00;-0,03
140400;2094179,00;0,20
140440;2093289,00;0,20
140480;2093204,00;0,17
140520;2093726,00;-0,10
140560;2093408,00;-0,27
140600;2093022,00;-0,23
140640;2092698,00;-0,03
140680;2092752,00;0,17
140720;2093429,00;0,03
140760;2093279,00;-0,13
140800;2092691,00;-0,30
140840;2094244,00;-0,33
140880;2094749,00;-0,13
140920;2092726,00;0,10
140960;2093370,00;0,37
141000;2094216,00;0,13
141040;2093024,00;-0,13
141080;2094161,00;-0,40
141120;2094849,00;-0,17
141160;2093317,00;0,10
141200;2094547,00;0,27
141240;2092430,00;0,20
141280;2093329,00;0,00
141320;2094331,00;-0,13
141360;2094578,00;-0,27
141400;2093883,00;-0,20
141440;2093564,00;0,00
141480;2092742,00;0,23
141520;2094885,00;0,13
141560;2093420,00;-0,07
141600;2092589,00;-0,13
141640;2094388,00;0,03
141680;2094122,00;0,20
141720;2093239,00;0,20
141760;2094939,00;0,13
141800;2095249,00;0,13
141840;2096297,00;0,20
141880;2094534,00;0,13
141920;2094826,00;-0,03
141960;2094737,00;-0,30
142000;2094715,00;-0,20
142040;2094490,00;-0,07
142080;2094217,00;0,17
142120;2091741,00;0,20
142160;2093166,00;0,23
142200;2092934,00;0,27
142240;2092495,00;0,30
142280;2093001,00;0,33
142320;2092872,00;0,23
142360;2092161,00;0,03
142400;2093795,00;-0,17
142440;2093794,00;-0,30
142480;2093352,00;-0,17
142520;2094092,00;0,00
142560;2092480,00;0,13
142600;2094011,00;0,03
142640;2093676,00;-0,10
142680;2092745,00;-0,20
142720;2093110,00;-0,03
142760;2093036,00;0,17
142800;2093158,00;0,37
142840;2091704,00;0,20
142880;2091819,00;0,00
142920;2091568,00;-0,10
142960;2091183,00;0,03
143000;2090222,00;0,17
143040;2090422,00;0,17
143080;2089535,00;0,00
143120;2089147,00;-0,17
143160;2090545,00;-0,07
143200;2090314,00;0,07
143240;2089839,00;0,20
143280;2089645,00;0,17
143320;2090493,00;0,13
143360;2090324,00;0,10
143400;2090318,00;0,03
143440;2090699,00;0,07
143480;2090156,00;0,00
143520;2089064,00;-0,13
143560;2089230,00;-0,23
143600;2089087,00;-0,23
143640;2088814,00;-0,10
143680;2088404,00;0,00
143720;2087740,00;-0,03
143760;2088068,00;-0,07
143800;2087427,00;-0,17
143840;2087377,00;-0,13
143880;2087475,00;-0,27
143920;2087196,00;-0,33
143960;2086619,00;-0,23
144000;2087189,00;-0,20
144040;2087315,00;0,03
144080;2088119,00;0,00
144120;2087224,00;0,10
144160;2086657,00;0,03
144200;2087172,00;0,03
144240;2086787,00;0,07
144280;2085394,00;0,10
144320;2086148,00;0,13
144360;2085490,00;0,23
144400;2085442,00;0,07
144440;2084680,00;0,03
144480;2084420,00;-0,10
144520;2082993,00;0,10
144560;2083827,00;0,17
144600;2082676,00;0,23
144640;2082071,00;0,03
144680;2082336,00;-0,13
